1241,Smooth
4064,Rough
1825,Smooth
p316,Rough
p334,Rough
534,Smooth
p256,Rough
8075,Rough
986,Smooth
3733,Smooth
8008,Rough
5984,Smooth
2929,Rough
8474,Rough
596,Smooth
8718,Smooth
8080,Smooth
6494,Rough
231,Smooth
8300,Smooth
208,Smooth
6288,Smooth
637,Rough
3009,Smooth
8605,Smooth
7051,Smooth
8776,Smooth
698,Smooth
1748,Rough
4226,Rough
1914,Rough
p326,Rough
p249,Rough
7276,Smooth
4856,Rough
2285,Smooth
5189,Rough
589,Smooth
2004,Smooth
p313,Rough
8113,Smooth
1335,Smooth
954,Rough
p239,Rough
6544,Smooth
5389,Rough
1182,Smooth
1776,Rough
p330,Smooth
6567,Smooth
3328,Rough
5266,Rough
1789,Smooth
5767,Rough
6956,Smooth
5115,Rough
8855,Rough
8225,Rough
6060,Smooth
2971,Rough
5776,Rough
1987,Rough
4427,Smooth
1752,Smooth
3792,Smooth
4289,Smooth
5656,Rough
7962,Smooth
699,Smooth
1365,Rough
4111,Smooth
5139,Smooth
4425,Smooth
6993,Rough
p274,Rough
56,Smooth
101,Smooth
p333,Rough
3228,Smooth
6339,Smooth
3118,Rough
6352,Smooth
6188,Smooth
2812,Smooth
6235,Smooth
5386,Smooth
1509,Smooth
p284,Rough
7594,Smooth
6378,Smooth
3368,Rough
p374,Rough
6099,Smooth
6426,Smooth
6937,Rough
p295,Rough
7868,Smooth
8118,Smooth
2238,Smooth
5914,Rough
p232,Rough
p312,Rough
4236,Rough
8725,Smooth
4381,Smooth
7069,Smooth
6673,Smooth
p364,Rough
5242,Smooth
3546,Smooth
p305,Rough
4731,Smooth
7297,Smooth
159,Rough
9026,Smooth
7314,Rough
p240,Smooth
5975,Rough
5029,Smooth
8771,Smooth
3307,Rough
8410,Smooth
2427,Rough
459,Rough
7717,Smooth
6082,Smooth
7809,Rough
2411,Smooth
4044,Smooth
188,Smooth
2499,Smooth
17,Rough
p237,Rough
8006,Rough
5126,Rough
6918,Smooth
5063,Smooth
175,Smooth
p225,Rough
8138,Rough
6505,Smooth
54,Smooth
274,Smooth
8401,Rough
4967,Smooth
3781,Smooth
p294,Rough
6782,Smooth
p254,Rough
6788,Rough
593,Smooth
4800,Rough
3389,Rough
7949,Rough
3914,Smooth
666,Rough
2230,Smooth
8329,Smooth
1222,Rough
3294,Rough
1224,Smooth
p258,Rough
510,Rough
7434,Smooth
2194,Smooth
6510,Smooth
5304,Smooth
6308,Smooth
6317,Smooth
p340,Rough
7991,Rough
3905,Smooth
79,Smooth
4335,Rough
8506,Smooth
925,Smooth
7525,Smooth
5337,Smooth
8193,Smooth
5876,Smooth
1851,Smooth
7553,Smooth
1060,Smooth
5290,Smooth
3584,Smooth
6032,Rough
8119,Rough
224,Smooth
3513,Smooth
1289,Rough
2061,Smooth
3493,Smooth
7240,Smooth
353,Smooth
7128,Rough
242,Smooth
3379,Smooth
7995,Smooth
1801,Rough
100,Smooth
5154,Smooth
8228,Smooth
98,Smooth
479,Smooth
7286,Smooth
8266,Smooth
6518,Smooth
7318,Smooth
4899,Smooth
8421,Smooth
4110,Smooth
4807,Rough
549,Smooth
1349,Rough
6371,Smooth
8347,Rough
7085,Smooth
2053,Rough
4243,Rough
4039,Smooth
1348,Smooth
6924,Smooth
2299,Smooth
1859,Smooth
7956,Rough
6160,Smooth
p283,Rough
7316,Smooth
318,Smooth
3521,Smooth
7498,Smooth
5723,Smooth
1668,Smooth
3994,Smooth
8176,Rough
2319,Rough
2570,Smooth
227,Smooth
5810,Rough
2056,Smooth
6499,Smooth
5740,Smooth
16,Smooth
s5,Smooth
1061,Smooth
783,Smooth
968,Smooth
1903,Smooth
240,Smooth
1160,Rough
2775,Smooth
6620,Smooth
166,Smooth
2532,Smooth
6373,Smooth
8820,Smooth
497,Rough
8825,Smooth
4734,Smooth
2074,Rough
3989,Smooth
6701,Rough
6388,Smooth
7766,Smooth
1343,Smooth
6686,Smooth
4331,Smooth
p255,Rough
4260,Smooth
3645,Smooth
5622,Smooth
7833,Rough
6120,Smooth
